"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Shadow Darmanitan","Tackle","Overheat","18.944","350.5","39.29","3105"
"Mega Charizard Y","Air Slash","Overheat","18.943","599.8","44.93","4455"
"Galarian Darmanitan (Zen Mode)","Tackle","Overheat","18.942","449.9","41.82","3905"
"Mega Gardevoir","Charge Beam","Psychic","18.942","590.2","44.75","4512"
"Shadow Alakazam","Counter","Shadow Ball","18.942","321","38.43","3057"
"Shadow Luxray","Snarl","Wild Charge","18.941","384","40.19","2888"
"Shadow Magnezone","Spark","Wild Charge","18.939","450.6","41.83","3205"
"Mega Mewtwo X","Psycho Cut","Ice Beam","18.932","652.9","45.88","5429"
"Mega Latios","Zen Headbutt","Dragon Claw","18.931","689.5","46.51","5007"
"Shadow Moltres","Wing Attack","Overheat","18.926","476.2","42.39","3465"
"Shadow Swampert","Water Gun","Hydro Cannon","18.92","498.9","42.88","2974"
"Primal Groudon","Dragon Tail","Solar Beam","18.917","865.6","49.2","5902"
"Calyrex - Shadow Rider","Confusion","Psyshock","18.913","603.5","44.95","4540"
"Shadow Mewtwo","Psycho Cut","Focus Blast","18.913","493.4","42.74","4178"
"Mega Charizard X","Fire Spin","Blast Burn","18.907","601.3","44.9","3850"
"Mega Salamence","Fire Fang","Outrage","18.903","806.1","48.3","5031"
"Shadow Staraptor","Wing Attack","Brave Bird","18.898","360.8","39.5","2825"
"Mega Gallade","Low Kick","Synchronoise","18.895","591.1","44.69","4521"
"Shadow Electivire","Low Kick","Wild Charge","18.895","381.2","40.05","3079"
"Shadow Weavile","Feint Attack","Triple Axel","18.865","379.5","39.95","3005"
"Mega Latios","Zen Headbutt","Luster Purge","18.859","686.8","46.33","5007"
"Mega Absol","Snarl","Return","18.843","337.5","38.76","3301"
"Shadow Exeggutor","Extrasensory","Psychic","18.838","412.7","40.76","3014"
"Mega Latios","Dragon Breath","Solar Beam","18.837","686","46.28","5007"
"Mega Gallade","Charm","Psychic","18.835","589.2","44.54","4521"
"Shadow Banette","Shadow Claw","Shadow Ball","18.835","271.8","36.71","2298"
"Mega Gardevoir","Magical Leaf","Synchronoise","18.809","586","44.44","4512"
"Mega Blastoise","Water Gun","Hydro Cannon","18.807","667.7","45.91","3941"
"Shadow Chandelure","Incinerate","Poltergeist","18.802","364.1","39.44","3268"
"Shadow Gengar","Shadow Claw","Psychic","18.802","303.2","37.68","2878"
"Shadow Darmanitan","Fire Fang","Focus Blast","18.794","347.7","38.98","3105"
"Thundurus (Therian Forme)","Volt Switch","Wildbolt Storm","18.794","466","41.94","3659"
"White Kyurem","Dragon Breath","Blizzard","18.793","671.4","45.95","4605"
"Blacephalon","Astonish","Mystical Fire","18.792","333.7","38.58","3297"
"Shadow Swampert","Mud Shot","Hydro Cannon","18.788","495.5","42.58","2974"
"Shadow Excadrill","Mud Slap","Iron Head","18.786","402.1","40.41","3244"
"Mega Gengar","Lick","Focus Blast","18.775","474","42.09","4336"
"Shadow Zapdos","Charge Beam","Drill Peck","18.771","482","42.26","3527"
"Shadow Mewtwo","Psycho Cut","Flamethrower","18.767","489.6","42.41","4178"
"Mega Alakazam","Counter","Focus Blast","18.761","465.3","41.87","4510"
"Mega Gengar","Lick","Sludge Wave","18.76","473.6","42.05","4336"
"Shadow Latios","Zen Headbutt","Dragon Claw","18.754","504.7","42.72","3812"
"Shadow Typhlosion","Incinerate","Blast Burn","18.752","409.8","40.54","2889"
"Shadow Sceptile","Bullet Seed","Frenzy Plant","18.741","372.9","39.58","2757"
"Shadow Darmanitan","Fire Fang","Rock Slide","18.737","346.7","38.86","3105"
"Mega Charizard Y","Ember","Overheat","18.736","593.2","44.44","4455"
"Shadow Magnezone","Volt Switch","Wild Charge","18.732","445.7","41.37","3205"
"Mega Gengar","Shadow Claw","Shadow Punch","18.73","472.9","41.99","4336"
"Mega Gardevoir","Confusion","Return","18.727","583.5","44.24","4512"
"Mega Gallade","Confusion","Return","18.724","585.8","44.28","4521"
"Mega Absol","Snarl","Dark Pulse","18.717","335.2","38.5","3301"
"Shadow Cacturne","Sucker Punch","Grass Knot","18.711","263.1","36.23","2298"
"Primal Groudon","Mud Shot","Fire Blast","18.71","856.2","48.66","5902"
"Shadow Blaziken","Fire Spin","Overheat","18.704","345.9","38.79","2848"
"Mega Manectric","Snarl","Wild Charge","18.699","470.8","41.89","3580"
"Shadow Gallade","Confusion","Psychic","18.684","417.5","40.62","3093"
"Shadow Gardevoir","Confusion","Psychic","18.684","417.5","40.62","3093"
"Rayquaza","Dragon Tail","Outrage","18.68","546.8","43.45","3835"
"Shadow Mewtwo","Psycho Cut","Ice Beam","18.675","487.2","42.21","4178"
"Mega Alakazam","Confusion","Fire Punch","18.672","463.1","41.67","4510"
"Shadow Blaziken","Counter","Brave Bird","18.672","345.3","38.72","2848"
"Shadow Excadrill","Metal Claw","Iron Head","18.668","399.5","40.15","3244"
"Mega Gengar","Hex","Psychic","18.667","471.3","41.84","4336"
"Mega Charizard Y","Fire Spin","Return","18.666","591","44.28","4455"
"Blacephalon","Incinerate","Overheat","18.663","331.4","38.31","3297"
"Mega Pidgeot","Gust","Brave Bird","18.654","516.5","42.79","3680"
"Primal Groudon","Mud Shot","Fire Punch","18.647","853.3","48.5","5902"
"Mega Banette","Shadow Claw","Return","18.645","400.8","40.15","3594"
"Shadow Entei","Fire Spin","Overheat","18.644","533.4","43.12","3473"
"Mega Alakazam","Psycho Cut","Focus Blast","18.641","462.4","41.6","4510"
"Shadow Alakazam","Psycho Cut","Future Sight","18.632","315.7","37.8","3057"
"Mega Garchomp","Dragon Tail","Fire Blast","18.623","778","47.35","5424"
"Lucario","Counter","Aura Sphere","18.621","384.2","39.69","2703"
"Primal Groudon","Mud Shot","Solar Beam","18.619","852","48.42","5902"
"Zekrom","Dragon Breath","Fusion Bolt","18.618","642.4","45.12","4038"
"Mega Tyranitar","Iron Tail","Brutal Swing","18.612","902.1","49.11","5347"
"Shadow Dragonite","Steel Wing","Draco Meteor","18.61","513.5","42.65","3792"
"Yveltal","Snarl","Oblivion Wing","18.604","673.9","45.64","3781"
"Shadow Weavile","Ice Shard","Avalanche","18.602","374.2","39.39","3005"
"Mega Lucario","Counter","Blaze Kick","18.598","458.6","41.44","3826"
"Shadow Staraptor","Sand Attack","Brave Bird","18.594","355","38.87","2825"
"Shadow Ho-Oh","Incinerate","Brave Bird","18.589","637.6","44.99","3863"
"Mega Gardevoir","Charm","Return","18.581","578.9","43.9","4512"
"Mega Gardevoir","Charge Beam","Dazzling Gleam","18.574","578.7","43.88","4512"
"Mega Houndoom","Fire Fang","Foul Play","18.574","528","42.89","3842"
"Mega Sceptile","Fury Cutter","Breaking Swipe","18.574","484.5","41.98","4056"
"Zacian - Crowned Sword","Metal Claw","Play Rough","18.56","679.9","45.66","4448"
"Mega Charizard Y","Fire Spin","Fire Blast","18.557","587.6","44.02","4455"
"Mega Gallade","Confusion","Leaf Blade","18.536","579.9","43.84","4521"
"Shadow Hariyama","Counter","Dynamic Punch","18.536","438.3","40.88","2829"
"Mega Charizard Y","Wing Attack","Flamethrower","18.526","586.6","43.95","4455"
"Hoopa (Unbound)","Confusion","Shadow Ball","18.523","497.8","42.18","4006"
"Shadow Dragonite","Dragon Tail","Hyper Beam","18.517","510.9","42.44","3792"
"Deoxys (Normal Forme)","Zen Headbutt","Thunderbolt","18.515","253.9","35.63","3160"
"Mega Metagross","Bullet Punch","Psychic","18.501","800.2","47.45","4911"
"Shadow Salamence","Dragon Tail","Fire Blast","18.496","452.2","41.13","3749"
"Shadow Ursaluna","Tackle","High Horsepower","18.482","611.7","44.33","3854"
"Landorus (Therian Forme)","Mud Shot","Sandsear Storm","18.479","547.3","43.11","3922"
"Mega Charizard X","Dragon Breath","Blast Burn","18.477","587.6","43.88","3850"
"Shadow Dragonite","Dragon Breath","Dragon Pulse","18.468","509.6","42.33","3792"
"Shadow Latios","Zen Headbutt","Luster Purge","18.465","496.9","42.06","3812"
"Tapu Lele","Confusion","Nature's Madness","18.465","534.4","42.83","3494"
"Shadow Blaziken","Counter","Focus Blast","18.455","341.3","38.27","2848"
"Shadow Alolan Exeggutor","Dragon Tail","Solar Beam","18.452","414.1","40.16","3014"
"Shadow Feraligatr","Water Gun","Hydro Cannon","18.45","461.4","41.26","2857"
"Shadow Honchkrow","Snarl","Dark Pulse","18.449","302.2","37.11","2711"
"Shadow Groudon","Dragon Tail","Earthquake","18.448","570.3","43.5","4115"
"Mega Houndoom","Snarl","Foul Play","18.447","524.4","42.6","3842"
"Shadow Charizard","Air Slash","Blast Burn","18.445","403.1","39.88","2889"
"Shadow Gallade","Psycho Cut","Psychic","18.44","412.1","40.09","3093"
"Dragapult","Dragon Tail","Shadow Ball","18.433","518.3","42.44","3532"
"Mega Salamence","Dragon Tail","Return","18.432","786","47.1","5031"
"Shadow Dragonite","Steel Wing","Dragon Claw","18.427","508.4","42.23","3792"
"Shadow Excadrill","Mud Shot","Drill Run","18.427","394.4","39.63","3244"
"Shadow Charizard","Ember","Blast Burn","18.422","402.6","39.83","2889"
"Shadow Typhlosion","Ember","Blast Burn","18.422","402.6","39.83","2889"
"Mega Lucario","Counter","Close Combat","18.419","454.2","41.04","3826"
"Mega Salamence","Fire Fang","Draco Meteor","18.418","785.4","47.06","5031"
"Mega Gengar","Shadow Claw","Dark Pulse","18.417","465","41.28","4336"
"Rampardos","Smack Down","Rock Slide","18.413","370.8","39","3298"
"Shadow Ursaluna","Tackle","Return","18.404","609.1","44.14","3854"
"Mega Sceptile","Fury Cutter","Dragon Claw","18.398","479.9","41.58","4056"
"Shadow Alakazam","Confusion","Dazzling Gleam","18.397","311.7","37.33","3057"
"Shadow Gardevoir","Charm","Psychic","18.397","411.1","40","3093"
"Shadow Latios","Dragon Breath","Solar Beam","18.39","494.9","41.89","3812"
"Shadow Haunter","Shadow Claw","Sludge Bomb","18.388","185.5","32.77","1963"
"Shadow Magnezone","Charge Beam","Wild Charge","18.385","437.4","40.6","3205"
"Shadow Empoleon","Waterfall","Hydro Cannon","18.384","453","40.96","2900"
"Shadow Gengar","Lick","Psychic","18.381","296.4","36.83","2878"
"Mega Pidgeot","Wing Attack","Brave Bird","18.38","508.9","42.16","3680"
"Shadow Unfezant","Air Slash","Sky Attack","18.379","350.8","38.41","2734"
"Shadow Manectric","Thunder Fang","Wild Charge","18.377","282.2","36.38","2340"
"Chandelure","Fire Spin","Shadow Ball","18.372","427","40.34","3268"
"Mega Diancie","Tackle","Rock Slide","18.372","484.5","41.63","4346"
"Primal Kyogre","Waterfall","Thunder","18.357","840","47.74","5902"
"Shadow Groudon","Mud Shot","Earthquake","18.355","567.5","43.28","4115"
"Shadow Typhlosion","Shadow Claw","Blast Burn","18.34","400.8","39.65","2889"
"Shadow Cacturne","Sand Attack","Grass Knot","18.338","257.8","35.51","2298"
"Shadow Haunter","Lick","Sludge Bomb","18.337","185","32.68","1963"
"Mega Gallade","Confusion","Close Combat","18.333","573.5","43.36","4521"
"Shadow Zapdos","Charge Beam","Thunderbolt","18.328","470.6","41.26","3527"
"Reshiram","Dragon Breath","Fusion Flare","18.321","632.2","44.4","4038"
"Shadow Dragonite","Dragon Breath","Hurricane","18.315","505.4","41.98","3792"
"Keldeo","Low Kick","Sacred Sword","18.306","589.1","43.6","3698"
"Mega Blaziken","Counter","Stone Edge","18.297","476.3","41.33","4161"
"Shadow Entei","Fire Fang","Flamethrower","18.293","523.4","42.31","3473"
"Shadow Weavile","Feint Attack","Foul Play","18.289","367.9","38.73","3005"
"Shadow Alakazam","Counter","Future Sight","18.282","309.8","37.09","3057"
"Salamence","Dragon Tail","Outrage","18.271","536","42.52","3749"
"Rayquaza","Dragon Tail","Breaking Swipe","18.265","534.7","42.49","3835"
"Mega Gengar","Sucker Punch","Psychic","18.263","461.1","40.94","4336"
"Palkia (Origin Forme)","Dragon Tail","Draco Meteor","18.26","615.2","43.99","4142"
"Mega Charizard Y","Air Slash","Flamethrower","18.259","578.1","43.31","4455"
"Mega Gardevoir","Confusion","Triple Axel","18.259","568.9","43.14","4512"
"Shadow Blaziken","Counter","Return","18.258","337.7","37.86","2848"
"Mega Salamence","Bite","Outrage","18.241","777.8","46.61","5031"
"Mega Gardevoir","Magical Leaf","Shadow Ball","18.237","568.2","43.09","4512"
"Shadow Gardevoir","Confusion","Dazzling Gleam","18.237","407.5","39.65","3093"
"Shadow Porygon-Z","Lock-On","Tri-Attack","18.235","370.6","38.72","3266"
"Shadow Infernape","Rock Smash","Blast Burn","18.232","346.6","38.07","2683"
"Shadow Luxray","Hidden Power (Electric)","Wild Charge","18.225","369.5","38.67","2888"
"Shadow Gigalith","Smack Down","Meteor Beam","18.223","484.9","41.39","3228"
"Shadow Sneasler","Poison Jab","Close Combat","18.223","373.8","38.78","3222"
"Shadow Porygon-Z","Lock-On","Hyper Beam","18.217","370.3","38.68","3266"
"Shadow Exeggutor","Zen Headbutt","Psychic","18.216","399.1","39.41","3014"
"Shadow Exeggutor","Confusion","Solar Beam","18.212","399","39.4","3014"
"Mega Gardevoir","Charm","Triple Axel","18.21","567.3","43.02","4512"
"Mega Absol","Snarl","Payback","18.208","326.1","37.46","3301"
"Shadow Weavile","Ice Shard","Triple Axel","18.207","366.2","38.56","3005"
"Shadow Honchkrow","Snarl","Psychic","18.204","298.1","36.62","2711"
"Pheromosa","Low Kick","Focus Blast","18.201","238.7","34.64","2842"
"Pheromosa","Bug Bite","Close Combat","18.196","238.7","34.63","2842"
"Haxorus","Dragon Tail","Breaking Swipe","18.193","467.5","40.96","3593"
"Mega Charizard Y","Dragon Breath","Overheat","18.172","575.4","43.11","4455"
"Shadow Alolan Exeggutor","Dragon Tail","Draco Meteor","18.167","407.7","39.54","3014"
"Shadow Banette","Hex","Shadow Ball","18.164","262.2","35.4","2298"
"Mega Manectric","Charge Beam","Wild Charge","18.16","457.2","40.68","3580"
"Mega Lucario","Counter","Power-Up Punch","18.158","447.7","40.46","3826"
"Shadow Raikou","Thunder Shock","Thunderbolt","18.152","489.4","41.36","3452"
"Zacian - Crowned Sword","Snarl","Play Rough","18.15","664.9","44.65","4448"
"Shadow Blaziken","Fire Spin","Brave Bird","18.148","335.6","37.63","2848"
"Mega Rayquaza","Dragon Tail","Ancient Power","18.147","685.7","44.99","5713"
"Shadow Absol","Snarl","Dark Pulse","18.135","252","35.01","2526"
"Shadow Exeggutor","Extrasensory","Solar Beam","18.135","397.3","39.23","3014"
"Shadow Chandelure","Hex","Poltergeist","18.131","351.2","38.04","3268"
"Shadow Rampardos","Zen Headbutt","Flamethrower","18.121","304.1","36.68","3298"
"Shadow Ho-Oh","Incinerate","Sacred Fire+","18.12","621.5","43.85","3863"
"Gengar","Lick","Shadow Ball","18.109","350.4","37.98","2878"
"Ash Greninja","Feint Attack","Night Slash","18.103","407.9","39.44","3984"
"Honchkrow","Snarl","Sky Attack","18.098","355.7","38.11","2711"
"Terrakion","Smack Down","Sacred Sword","18.09","582.1","43.09","3698"
"Mega Metagross","Zen Headbutt","Psychic","18.088","782.3","46.39","4911"
"Shadow Toxicroak","Counter","Dynamic Punch","18.086","325.1","37.24","2488"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Ice Punch","18.076","429.3","39.91","3905"
"Reshiram","Fire Fang","Overheat","18.075","623.7","43.81","4038"
"Shadow Houndoom","Fire Fang","Foul Play","18.075","325.8","37.24","2635"
"Hoopa (Unbound)","Confusion","Dark Pulse","18.073","485.7","41.15","4006"
"Mewtwo","Confusion","Shadow Ball","18.068","565.7","42.74","4178"
"Yveltal","Gust","Oblivion Wing","18.065","654.4","44.32","3781"
"Shadow Unfezant","Steel Wing","Sky Attack","18.063","344.8","37.75","2734"
"Shadow Gallade","Low Kick","Psychic","18.062","403.6","39.27","3093"
"Mega Houndoom","Fire Fang","Flamethrower","18.038","512.8","41.65","3842"
"Gengar","Shadow Claw","Shadow Ball","18.033","348.9","37.82","2878"
"Shadow Garchomp","Mud Shot","Earthquake","18.032","550.9","42.39","3962"
"Lucario","Bullet Punch","Aura Sphere","18.029","372","38.42","2703"
"Shadow Gardevoir","Charm","Dazzling Gleam","18.027","402.8","39.19","3093"
"Mega Charizard X","Ember","Blast Burn","18.024","573.2","42.8","3850"
"Mega Gallade","Charm","Synchronoise","18.009","563.4","42.59","4521"
"Landorus (Therian Forme)","Extrasensory","Sandsear Storm","18.002","533.2","42","3922"
"Shadow Sharpedo","Bite","Hydro Pump","18.001","190.8","32.48","2181"
"Shadow Machamp","Bullet Punch","Dynamic Punch","17.996","402","39.12","3056"
"Zekrom","Charge Beam","Fusion Bolt","17.989","620.7","43.6","4038"
"Mega Latias","Dragon Breath","Psychic","17.987","798.4","46.43","4801"
"Metagross","Bullet Punch","Meteor Mash","17.983","621.7","43.61","3791"
"Shadow Blaziken","Fire Spin","Focus Blast","17.98","332.5","37.29","2848"
"Shadow Darmanitan","Incinerate","Rock Slide","17.98","332.7","37.29","3105"
"Zekrom","Dragon Breath","Wild Charge","17.975","620.2","43.56","4038"
"Mega Latios","Zen Headbutt","Solar Beam","17.974","654.6","44.15","5007"
"Shadow Feraligatr","Waterfall","Hydro Cannon","17.971","449.4","40.19","2857"
"Shaymin (Sky Forme)","Magical Leaf","Grass Knot","17.971","541.8","42.11","3592"
"Regigigas","Zen Headbutt","Giga Impact","17.97","662.2","44.27","4346"
"Hoopa (Unbound)","Astonish","Psychic","17.964","482.8","40.9","4006"
"Shadow Kyogre","Waterfall","Blizzard","17.957","555.2","42.34","4115"
"Mega Beedrill","Poison Jab","Return","17.956","361.5","38.04","3383"
"Shadow Charizard","Dragon Breath","Blast Burn","17.954","392.4","38.82","2889"
"Mega Lucario","Bullet Punch","Shadow Ball","17.953","442.7","40.01","3826"
"Shadow Gardevoir","Magical Leaf","Psychic","17.953","401.2","39.03","3093"
"Shadow Lugia","Extrasensory","Aeroblast+","17.949","843.4","46.99","3703"
"White Kyurem","Dragon Breath","Dragon Pulse","17.949","641.2","43.88","4605"
"Shadow Crawdaunt","Snarl","Razor Shell","17.946","285.1","35.83","2474"
"Mega Heracross","Struggle Bug","Megahorn","17.945","607.6","43.29","4814"
"Shadow Sharpedo","Bite","Crunch","17.945","190.2","32.38","2181"
"Shadow Entei","Fire Spin","Flamethrower","17.936","513.2","41.48","3473"
"Xurkitree","Thunder Shock","Dazzling Gleam","17.936","415.6","39.35","3937"
"Shadow Rhyperior","Mud Slap","Earthquake","17.933","565.5","42.5","3733"
"Mega Charizard Y","Ember","Flamethrower","17.931","567.8","42.54","4455"
"Salamence","Dragon Tail","Draco Meteor","17.931","526","41.73","3749"
"Mega Gengar","Lick","Shadow Punch","17.929","452.6","40.19","4336"
"Thundurus (Therian Forme)","Volt Switch","Thunderbolt","17.927","444.5","40","3659"
"Mega Beedrill","Poison Jab","X-Scissor","17.925","360.9","37.97","3383"
"Shadow Moltres","Fire Spin","Fire Blast","17.924","451","40.14","3465"
"Reshiram","Fire Fang","Draco Meteor","17.923","618.4","43.44","4038"
"Shadow Houndoom","Snarl","Foul Play","17.921","323","36.92","2635"
"Shadow Dragonite","Dragon Tail","Superpower","17.913","494.3","41.05","3792"
"Palkia","Dragon Tail","Draco Meteor","17.91","583.2","42.78","3991"
"Shadow Excadrill","Mud Shot","Earthquake","17.897","383","38.49","3244"
"Mega Latias","Dragon Breath","Outrage","17.888","794","46.17","4801"
"Mega Alakazam","Counter","Fire Punch","17.885","443.6","39.91","4510"
"Shadow Cacturne","Poison Jab","Grass Knot","17.877","251.3","34.62","2298"
"Mega Diancie","Tackle","Power Gem","17.876","471.4","40.51","4346"
"Shadow Darmanitan","Tackle","Psychic","17.876","330.7","37.07","3105"
"Shadow Sharpedo","Waterfall","Crunch","17.874","189.4","32.25","2181"
"Mega Charizard X","Wing Attack","Blast Burn","17.869","568.3","42.43","3850"
"Shadow Venusaur","Vine Whip","Frenzy Plant","17.869","432.2","39.63","2720"
"Chandelure","Incinerate","Shadow Ball","17.866","415.2","39.23","3268"
"Mega Aerodactyl","Rock Throw","Rock Slide","17.864","571.8","42.49","4118"
"Shadow Gallade","Confusion","Synchronoise","17.864","399.2","38.84","3093"
"Shadow Gardevoir","Confusion","Synchronoise","17.864","399.2","38.84","3093"
"Xurkitree","Spark","Dazzling Gleam","17.864","413.9","39.19","3937"
"Shadow Sceptile","Fury Cutter","Leaf Blade","17.862","355.4","37.73","2757"
